"example_id","task","book_id","class_level","page_number","question","options","answer","evidence_quote","automatic_decision","hard_errors","warnings","human_decision","reviewer","corrected_question","corrected_output_json","notes","source_preview"
"class6-english-page-0043-generate_mcq-v2","generate_mcq","class6-english","6","43","Where did Sam have lunch yesterday?","[""the bus station"", ""the book store"", ""the canteen"", ""her room-mate’s place""]","the canteen","[lost both at the canteen where I.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Do you notice any difference between the vowel sounds in the words on the left column and the vowel sounds in the words on the right? Then listen to and repeat the sentences pronouncing the underlined words properly using the vowel sounds you just practised in section A. I met Benu and her room-mate in the book store. They were buying some papers and pens. Iremember her friend's face, but I can't "
"class6-english-page-0049-generate_mcq-v2","generate_mcq","class6-english","6","49","Why did people go to the mass graveyards?","[""To play games with their friends."", ""To pay to the Liberation War martyrs."", ""To visit a museum."", ""To buy souvenirs.""]","To pay to the Liberation War martyrs.","Everybody went there to pay to the Liberation War martyrs. We were in a long queue.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","What did you do there? Well, I went there with my........... and my brother. Many people were there! Everybody went there to pay to the Liberation War martyrs. We were in a long queue. We had flowers with us. We wreaths of flowers before the mausoleum. My parents took me to the mass graveyards. They told us about the sacrifice of our people for T was VETY to see the mass graves. | prayed for the s"
"class6-english-page-0049-short_extractive_qa-v2","short_extractive_qa","class6-english","6","49","What did you and your family do at the mausoleum?","[]","We wreaths of flowers before the mausoleum.","We wreaths of flowers before the mausoleum. My parents took me to the mass graveyards.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","What did you do there? Well, I went there with my........... and my brother. Many people were there! Everybody went there to pay to the Liberation War martyrs. We were in a long queue. We had flowers with us. We wreaths of flowers before the mausoleum. My parents took me to the mass graveyards. They told us about the sacrifice of our people for T was VETY to see the mass graves. | prayed for the s"
"class6-english-page-0061-generate_mcq-v2","generate_mcq","class6-english","6","61","According to the instructions, what should you do first when making an egg sandwich?","[""Spread the butter thinly on one side of each slice."", ""Put a slice of cheese on the buttered side of the bread."", ""Take two slices of bread."", ""Arrange slices of cucumber and one tomato on the egg.""]","Take two slices of bread.","List of ingredients: Two slices of bread Cucumber- 2/3 slices Tomato- 1/2 slices Butter or mayonnaise Egg (boiled/fried) One slice of cheese How to make it: First, take two slices of bread. Spread the butter thinly on one side of each slice.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Lesson 18 Make Your Snacks read and understand written instructions © read and understand texts Mrs. Nilufar Ahmed is teaching her son Adib how to make easy snacks at home. She is reading a set of instructions from a recipe book. First look at the pictures of the things you will need to make an egg sandwich and match them with their names in the list of ingredients below. List of ingredients: Two "
"class6-english-page-0061-short_extractive_qa-v2","short_extractive_qa","class6-english","6","61","What does Mrs. Nilufar Ahmed spread thinly on one side of each slice?","[]","the butter thinly on one side of each slice","Spread the butter thinly on one side of each slice.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Lesson 18 Make Your Snacks read and understand written instructions © read and understand texts Mrs. Nilufar Ahmed is teaching her son Adib how to make easy snacks at home. She is reading a set of instructions from a recipe book. First look at the pictures of the things you will need to make an egg sandwich and match them with their names in the list of ingredients below. List of ingredients: Two "
"class6-english-page-0063-short_extractive_qa-v2","short_extractive_qa","class6-english","6","63","What do you need to add to the bowl when making an omelette?","[]","Break the eggs of water and just a little the bowl.","Break the eggs of water and just a little the bowl. Add slices of and ~ well.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","58 English For Today A recipe: how to make the perfect Omelette Use a minimum of per omelette. Break the eggs of water and just a little the bowl. Add slices of and ~ well. You need a little bit of j | Beat the mix with a Put oil in a. Then the oil. When the oil is hot, Pa the egg, onion and chilli mix into it. Spread the mix round the pan. Leave the mix in the pan for 2/3 minutes, As it thickens "
"class6-english-page-0066-short_extractive_qa-v2","short_extractive_qa","class6-english","6","66","When was Hason Raja born?","[]","Hason Raja was born in 1854","Read the following text: Hason Raja was born in 1854, into a wealthy landlord family in Sylhet.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","English For Today 61 Hason Raja: The Mystic Bard ¢ read and understand texts © ask and answer questions ¢ read aloud with proper pronunciation, stress and intonation anything about them? A “bard” is one who writes poems and songs. A “mystic” is one who seeks truth and strives to become united with God through prayer and The pictures above are of three renowned mystic bards of Bangladesh: Lalon Sha"
"class6-english-page-0067-short_extractive_qa-v2","short_extractive_qa","class6-english","6","67","What was the other name by which Hason Raja was known?","[]","‘Crazy Hason Raja’, or ‘Pagla Hason Raja’","In his songs, he called himself ‘Crazy Hason Raja’, or ‘Pagla Hason Raja’.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","wrote about a thousand songs which reflected his thoughts. In 1906, he published a book called Hason Udash. The book had 206 songs in it. In his songs, he called himself ‘Crazy Hason Raja’, or ‘Pagla Hason Raja’. Another volume called Hason Raja Samagra (Complete Works of Hason Raja) was also published, which contained 500 poems and songs. Hason Raja’s songs had always been popular in Sylhet, but "
"class6-english-page-0075-generate_mcq-v2","generate_mcq","class6-english","6","75","According to Marshal McLuhan, what has created a sense of connection between people around the world?","[""The telephone"", ""TV and electronic media"", ""Personal computers"", ""The Internet” 2062""]","TV and electronic media","In his books he said that telephone, TV and electronic media have brought all mankind close to one another.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Where is Congo? Who called Ashar Santoso ‘Mr Global Citizen’? Why? Would you like to be a global citizen? If you got the chance to meet Ashar Santoso, what questions would you ask him? Make a list of five questions. The term village’ was.......... used by Marshal McLuhan. In 1962 and he wrote two books on media and communication. In his books he said that telephone, TV and electronic media have br"
"class6-english-page-0075-short_extractive_qa-v2","short_extractive_qa","class6-english","6","75","McLuhan believed that electronic media would make the world a global village.","[]","electronic............. would make the world a global village.","McLuhan believed that electronic............. would make the world a global village. When he first said about the idea of global village, the Internet was not invented.","REVIEW","","question does not end with a question mark | source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Where is Congo? Who called Ashar Santoso ‘Mr Global Citizen’? Why? Would you like to be a global citizen? If you got the chance to meet Ashar Santoso, what questions would you ask him? Make a list of five questions. The term village’ was.......... used by Marshal McLuhan. In 1962 and he wrote two books on media and communication. In his books he said that telephone, TV and electronic media have br"
"class6-english-page-0077-generate_mcq-v2","generate_mcq","class6-english","6","77","According to the text, what is one interesting place to visit in Cairo?","[""The Dhaka National Museum"", ""The Cairo Museum"", ""Sohan's hospital in Egypt"", ""Port Suez""]","The Cairo Museum","Well, you can visit the Cairo Museum and you should see the mummies.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","B1. Complete column B of the table below with information from the text you have read. Column A Column B Countries which prefer Bangladeshi Skills required for good jobs abroad Advantages of developing language Advantages of getting better jobs Sohan had a conversation with a Bangladeshi doctor, Mr Arman who works in a hospital in Cairo, Egypt. Read and practise the dialogue in pairs. Can you tell"
"class6-english-page-0077-short_extractive_qa-v2","short_extractive_qa","class6-english","6","77","What should you see there?","[]","You can visit the Cairo Museum and you should see the mummies.","Well, you can visit the Cairo Museum and you should see the mummies. And you mustn't leave Cairo without visiting Anything else?","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","B1. Complete column B of the table below with information from the text you have read. Column A Column B Countries which prefer Bangladeshi Skills required for good jobs abroad Advantages of developing language Advantages of getting better jobs Sohan had a conversation with a Bangladeshi doctor, Mr Arman who works in a hospital in Cairo, Egypt. Read and practise the dialogue in pairs. Can you tell"
"class6-english-page-0087-generate_mcq-v2","generate_mcq","class6-english","6","87","Imran wants a shirt that is formal. Which shirt did his mother think was good?","[""This shirt has nice prints!"", ""The shirt with stripes"", ""This shirt with checks"", ""A red top""]","This shirt with checks","Look at this shirt with checks.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Imran I need to buy a shirt, too. Mrs. Karim Look, this shirt has nice prints! Imran No, mom. I want something more formal. Mrs. Karim — Then what about this one with stripes? Imran No, it's too boring. Look at this shirt with checks. This Mrs. Karim __ Yes, that's much better. Well, take it then. | try wearing flat match suit | size cheaper shorts fit 1, Thave gained so much weight. My clothes do"
"class6-english-page-0087-short_extractive_qa-v2","short_extractive_qa","class6-english","6","87","What does Imran say he wants when looking for a shirt?","[]","I want something more formal.","I want something more formal. Mrs.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Imran I need to buy a shirt, too. Mrs. Karim Look, this shirt has nice prints! Imran No, mom. I want something more formal. Mrs. Karim — Then what about this one with stripes? Imran No, it's too boring. Look at this shirt with checks. This Mrs. Karim __ Yes, that's much better. Well, take it then. | try wearing flat match suit | size cheaper shorts fit 1, Thave gained so much weight. My clothes do"
"class6-english-page-0088-short_extractive_qa-v2","short_extractive_qa","class6-english","6","88","What did Thad dream of doing in the poem?","[]","Thad to pick a mother out.","I dreamed Thad to pick a mother out. I had to choose a father too.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Lesson 27 Andre read aloud texts with proper pronunciation, stress and intonation * read and understand written instructions © understand and enjoy stories and poems -Gwendolyn Brooks Thad a dream last night. I dreamed Thad to pick a mother out. I had to choose a father too. At first, I wondered what to do, There were so many there, it seemed, Short and tall and thin and stout. But just before I s"
"class6-english-page-0091-generate_mcq-v2","generate_mcq","class6-english","6","91","Ms. Shima Chowdhury tells the students not to do what with their question papers?","[""e. with others"", ""f. with others"", ""g. You out before one hour is over"", ""Be quiet, please! Do not make any noise.""]","g. You out before one hour is over","g. You out before one hour is over.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Lesson 29 Taking read and understand written instructions read and understand texts Read the passage below: Hena and her twin sister Bina both study in class six. They are having the half-yearly examination at school. Today they are going to take the English test. Their teacher Ms. Shima Chowdhury enters the classroom. Before the test starts, she gives some instructions to the class. Ms. Chowdhury"
"class6-english-page-0091-short_extractive_qa-v2","short_extractive_qa","class6-english","6","91","What did Ms. Shima Chowdhury tell the students not to do with the questions?","[]","g. You out before one hour is over.","g. You out before one hour is over.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Lesson 29 Taking read and understand written instructions read and understand texts Read the passage below: Hena and her twin sister Bina both study in class six. They are having the half-yearly examination at school. Today they are going to take the English test. Their teacher Ms. Shima Chowdhury enters the classroom. Before the test starts, she gives some instructions to the class. Ms. Chowdhury"
"class6-english-page-0093-short_extractive_qa-v2","short_extractive_qa","class6-english","6","93","Where did Bahar suggest they could go for a two day trip?","[]","A two day trip to Kuakata!","A two day trip to Kuakata! That sounds interesting!","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","Lesson 30 What Should WeDo? ¢rcad and understand texts «read and understand written instructions write questions and answers © write short paragraphs Bahar, Azim, Joseph and Shujan are classmates, They are planning a Bahar We have a week's vacation next week. What should we do? Azim Let's go somewhere we haven't been before. Joseph Right! T saw an ad for an interesting place. Hmm... well, here it "
"class6-english-page-0105-generate_mcq-v2","generate_mcq","class6-english","6","105","According to the passage, what does a full stop (.) primarily indicate?","[""A comma in a sentence."", ""An exclamation of surprise."", ""That the sentence has ended."", ""A question being asked.""]","That the sentence has ended.",") — This shows that the sentence has ended. Comma {,) — This indicates a short pause in the sentence.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","One is done for you. Column A Column B Punctuation marks Punctuation marks are special symbols used in writing to separate sentences and phrases. They show how a piece of text should be read and understood. The most common punctuation marks in English are: Full stop (.) — This shows that the sentence has ended. Comma {,) — This indicates a short pause in the sentence. Question Mark (?) — This is u"
"class6-english-page-0105-short_extractive_qa-v2","short_extractive_qa","class6-english","6","105","What does the full stop show that the sentence has ended?","[]","This shows that the sentence has ended.",") — This shows that the sentence has ended. Comma {,) — This indicates a short pause in the sentence.","REVIEW","","source flag: MULTIPLE_OCR_VERSIONS | source page requires manual review","","","","","","One is done for you. Column A Column B Punctuation marks Punctuation marks are special symbols used in writing to separate sentences and phrases. They show how a piece of text should be read and understood. The most common punctuation marks in English are: Full stop (.) — This shows that the sentence has ended. Comma {,) — This indicates a short pause in the sentence. Question Mark (?) — This is u"
"class6-english-page-0109-generate_mcq-v2","generate_mcq","class6-english","6","109","According to the passage, what do people in villages celebrate?","[""Pahela Boishakh and Nabanna"", ""Cricket matches and picnics"", ""Birthday parties and weddings"", ""School exams and sports day""]","Pahela Boishakh and Nabanna","e) People in villages celebrate festivals like Pahela Boishakh and Nabanna Write a summary of the passage in your own words, 10 Match the parts of sentences from the Columns A and B to make five complete sentences.","PASS","","","ACCEPT","tushar","","","","104 English For Today There are no fruit trees in village gardens. e) People in villages celebrate festivals like Pahela Boishakh and Nabanna Write a summary of the passage in your own words, 10 Match the parts of sentences from the Columns A and B to make five complete sentences. Column A Column B (a) Food is one of the basic (i) without it (b) It is essential (ii) needs of human beings (c) We ca"
"class6-english-page-0111-short_extractive_qa-v2","short_extractive_qa","class6-english","6","111","What does Bulbul do every morning to keep the area clean?","[]","Bulbul wakes up early in the morning to collect rubbish from the Sankar area","Bulbul wakes up early in the morning to collect rubbish from the Sankar area and keep it clean.","PASS","","","ACCEPT","tushar","","","","Suggested Answers They put it in plastic bins and leave them in front of their houses. Bulbul was sick for two days and could not collect the rubbish. All jobs are important. The whole area became dirty and unhygienic. He knows the area will turn into a big dustbin if he stops working. Bulbul wakes up early in the morning to collect rubbish from the Sankar area and keep it clean. The people of San"
"class6-english-page-0112-generate_mcq-v2","generate_mcq","class6-english","6","112","According to the passage, what do most villagers in Rural Bangladesh work as?","[""Doctors and teachers"", ""Farmers, fishermen, or craftsmen"", ""Engineers and builders"", ""Shopkeepers and traders""]","Farmers, fishermen, or craftsmen","Most villagers work as farmers, fishermen, or craftsmen.","PASS","","","","","","","","English For Today 107 Rural Bangladesh is full of natural beauty with green fields, rivers and trees. Most villagers work as farmers, fishermen, or craftsmen. They grow crops like rice, jute and vegetables. Many village houses have gardens with fruit trees. Villagers cele- brate festivals such as Pahela Boishakh and Nabanna Utsab with joy. Life in the villag- es is simple but peaceful and happy. {"
"class6-english-page-0112-short_extractive_qa-v2","short_extractive_qa","class6-english","6","112","What do most villagers in rural Bangladesh work as?","[]","Most villagers work as farmers, fishermen, or craftsmen.","Most villagers work as farmers, fishermen, or craftsmen. They grow crops like rice, jute and vegetables.","PASS","","","","","","","","English For Today 107 Rural Bangladesh is full of natural beauty with green fields, rivers and trees. Most villagers work as farmers, fishermen, or craftsmen. They grow crops like rice, jute and vegetables. Many village houses have gardens with fruit trees. Villagers cele- brate festivals such as Pahela Boishakh and Nabanna Utsab with joy. Life in the villag- es is simple but peaceful and happy. {"
"class7-english-page-0008-generate_mcq-v2","generate_mcq","class7-english","7","8","Fahim asks Tamim for his pen. What does Tamim say?","[""Yes, of course, you can."", ""Sorry, I didn’t notice that."", ""Could you please help me with my maths?"", ""I need to read it tonight.""]","Yes, of course, you can.","Tamim: Yes, of course, you can. Here it is.","PASS","","","ACCEPT","tushar","","","","Unit one: Attention, Please 3 Lesson 2: Outside School Fahim: Can I borrow your pen, please? Tamim: Yes, of course, you can. Here it is. Radif: Could you please help me with my maths? Rahin: Sorry, | can’t. [’m not good at maths. Sister: Would you turn the television off? I'm doing my Brother: Sorry, | didn’t notice that. Please go on with you lend me your English book for a day?: Sorry, I. | need"
"class7-english-page-0008-short_extractive_qa-v2","short_extractive_qa","class7-english","7","8","What does Fahim ask Tamim to do?","[]","Can I borrow your pen, please?","Unit one: Attention, Please 3 Lesson 2: Outside School Fahim: Can I borrow your pen, please? Tamim: Yes, of course, you can.","PASS","","","ACCEPT","tushar","","","","Unit one: Attention, Please 3 Lesson 2: Outside School Fahim: Can I borrow your pen, please? Tamim: Yes, of course, you can. Here it is. Radif: Could you please help me with my maths? Rahin: Sorry, | can’t. [’m not good at maths. Sister: Would you turn the television off? I'm doing my Brother: Sorry, | didn’t notice that. Please go on with you lend me your English book for a day?: Sorry, I. | need"
"class7-english-page-0014-short_extractive_qa-v2","short_extractive_qa","class7-english","7","14","Where are the passengers asked to wait to get on the train?","[]","Where are the passengers asked to wait to get on the train?","Where are the passengers asked to wait to get on the train? What are the passengers asked to do to get to the platform?","PASS","","","","","","","","Unit one: Attention, Please 9 Work in pairs. Write a dialogue between a waiter and a customer ina restaurant, giving and taking orders for the following food items. When you finish writing, act out the dialogue. rice, fish curry, dal, vegetables, fresh juice, mineral water Lesson 7: At a Railway Station and answer the following questions. Listening text: 3 What is the announcement for? Where is th"
"class7-english-page-0023-generate_mcq-v2","generate_mcq","class7-english","7","23","What was the location of the prize-giving function?","[""In the school auditorium."", ""Read out the annual report."", ""Brightly decorated."", ""At the stage.""]","In the school auditorium.","In the school auditorium. What WaS | the auditorium decorated?","PASS","","","ACCEPT","tushar","","","","18 ENGLISH FOR TODAY Match words with their meanings. Words Meanings visit + speak highly of something or somebody ceremony * extremely good eminent * go to see a person or place praise * put something in a place where you can see it easily outstanding + function displa: * people having lots of power and influence Ask and answer in pairs. Make questions and then choose answers from this table. Que"
"class7-english-page-0023-short_extractive_qa-v2","short_extractive_qa","class7-english","7","23","Where did the prize-giving function held?","[]","In the school auditorium.","In the school auditorium. What WaS | the auditorium decorated?","REVIEW","","possible grammar error: did + held","ACCEPT","tushar","","","","18 ENGLISH FOR TODAY Match words with their meanings. Words Meanings visit + speak highly of something or somebody ceremony * extremely good eminent * go to see a person or place praise * put something in a place where you can see it easily outstanding + function displa: * people having lots of power and influence Ask and answer in pairs. Make questions and then choose answers from this table. Que"
"class7-english-page-0025-generate_mcq-v2","generate_mcq","class7-english","7","25","According to the passage, Flora started school at what age?","[""5"", ""6"", ""7"", ""8""]","6","3 Flora first went to school at the age of 6.","PASS","","","","","","","","2 Flora is talking about her school. 3 Flora first went to school at the age of 6. 4 Her mother dressed her in her best clothes. 5 Flora walked to school. Flora is a student. She is class 7. She can remember her day at school even today. She to school in 2006. Her mother her to school. The school was a long way from their house. Flora walked to school her mother. Match the words with their meaning"
"class7-english-page-0025-short_extractive_qa-v2","short_extractive_qa","class7-english","7","25","When did Flora start going to school?","[]","Flora first went to school at the age of 6.","3 Flora first went to school at the age of 6. 4 Her mother dressed her in her best clothes.","PASS","","","","","","","","2 Flora is talking about her school. 3 Flora first went to school at the age of 6. 4 Her mother dressed her in her best clothes. 5 Flora walked to school. Flora is a student. She is class 7. She can remember her day at school even today. She to school in 2006. Her mother her to school. The school was a long way from their house. Flora walked to school her mother. Match the words with their meaning"
