record_id,book_id,class_level,page_number,lesson_number,include_for_rag,include_for_sft,manual_review_required,candidate_text_versions,review_reasons,text_preview,source_file
class6-english-page-0019,class6-english,6,19,7,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Al. Choose appropriate words from the box to complete the dialogue below. Then act out the dialogue in pairs. letters restaurant streets place morning A What does a cleaner do? B A cleaner cleans our houses, office and ete.: What does a newspaper hawker do? B A hawker gives us newspapers every What does a postman do? B A postman delivers...........",public\ocr\books\class6-english\pages\page-019.json
class6-english-page-0020,class6-english,6,20,7,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 15 Last month Bulbul was sick for two days. So, he could not come to collect the rubbish. The people of Sankar were in great trouble. They got piles of waiting in front of their houses. The whole area became dirty and unhygienic. When Bulbul got well, he came back to Sankar. He collected everything from all the bins. Bulbul does n",public\ocr\books\class6-english\pages\page-020.json
class6-english-page-0021,class6-english,6,21,8,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Language Focus: Bulbul collects rubbish from the Sankar area in Dhaka Every day he wakes up at 5 o'clock and walks along the streets of Sankar. We talk about usual routines in simple present tense. In simple present tense, the verb takes an 's' or es’ if the subject is any one person/he/she, etc. The people in Sankar area became very upset. They go",public\ocr\books\class6-english\pages\page-021.json
class6-english-page-0022,class6-english,6,22,8,True,True,True,2,MULTIPLE_OCR_VERSIONS,Lesson 6 It Smells Good! ask and answer questions ® participate in short dialogues and conversations on familiar topics Read the passage and the dialogue below: It's Saturday. Mila's school is open. But Friday and Saturday are father's weekly holidays. Father sometimes loves to cook special dishes for everybody on Saturdays. It's 2 o'clock - time f,public\ocr\books\class6-english\pages\page-022.json
class6-english-page-0023,class6-english,6,23,8,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Al. Work with a partner. Ask and answer the following questions. a, What's your favourite food? Where do you usually have it? Who prepares it? How does it taste? use proper stress and intonation (up and down movement of your voice), with their correct forms. smell see look know like want a. l him very well. The new dress great! Rina to collect stam",public\ocr\books\class6-english\pages\page-023.json
class6-english-page-0024,class6-english,6,24,8,True,True,True,2,MULTIPLE_OCR_VERSIONS,Lesson 7 Holding Hands © recognise word and stress on words in sentences © recognise intonation in sentences © understand and enjoy stories and poems -Leonore M Link Elephants walking Along the trails Are holding hands By holding tails. Trunks and tails Are handy things When elephants walk In Circus rings. And when they walk — It never fails They'r,public\ocr\books\class6-english\pages\page-024.json
class6-english-page-0025,class6-english,6,25,8,True,True,True,2,MULTIPLE_OCR_VERSIONS,Look at the following words. Each word has more than one meaning. The meaning in which a word has been used in the poem is given. Can you think of any other meaning or meanings? Trunk The long nose of an elephant Ring: A round confined area in which animals or people perform or compete. There are seats around the outside of the ring for the For exa,public\ocr\books\class6-english\pages\page-025.json
class6-english-page-0026,class6-english,6,26,8,True,True,True,2,MULTIPLE_OCR_VERSIONS,Lesson 8 Grocery Shopping usc word stress and stress on words in sentences and answer questions © participate in short dialogues and conversations on familiar topics read and understand texts. Some guests will visit Imran's house tonight. So Imran's mother will cook dinner for them. She asks Imran to go to the local market. He often forgets to buy ,public\ocr\books\class6-english\pages\page-026.json
class6-english-page-0027,class6-english,6,27,8,True,True,True,2,MULTIPLE_OCR_VERSIONS,": There are only three eggs. Maybe I'll buy a dozen more?: Humm..... oh, yes.... get some sugar and milk and one litre of oil,: OK. One litre of milk and.... one kg. of sugar.: One more thing, dear. You are forgetting your list! Here it is.: Oh! Thanks, Maa. You have read the conversation above. Now, put a tick mark against the items that Imran wil",public\ocr\books\class6-english\pages\page-027.json
class6-english-page-0028,class6-english,6,28,9,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Salesperson Hello, how can I help you? Imran Do you have any beans? Salesperson Yes, we do. How much would you like? Imran I would like half kg. And I'll also need one kg. of tomatoes, two kg. of potatoes, two cauliflowers, a dozen of eggs and some salt. Salesperson Do you need oil, sir? Imran Yes, I need a litre of oil. Salesperson Do you need any",public\ocr\books\class6-english\pages\page-028.json
class6-english-page-0029,class6-english,6,29,9,True,True,True,2,MULTIPLE_OCR_VERSIONS,"24 English For Today B1. Discuss the following questions in pairs. How many items did Imarn buy? What varieties of vagetables were available in the market? Why do you think Imarn asked the salesman to use a paper bag? Discuss with your class friends and then write down one or two reasons. ""Thank you, here is the change,..."". What does the word ‘cha",public\ocr\books\class6-english\pages\page-029.json
class6-english-page-0030,class6-english,6,30,9,True,True,True,2,MULTIPLE_OCR_VERSIONS,English For Today 25 Match the phrases in column A and the items in column B below to make an imaginary shopping list. Write down the list in your notebook. (One phrase may match more than one items.) acanof poster paper a packet paint half a kilo of.......... cake ajar Of notebook a sheet of pencils Look at your shopping list again. Can you say wh,public\ocr\books\class6-english\pages\page-030.json
class6-english-page-0031,class6-english,6,31,9,True,True,True,2,MULTIPLE_OCR_VERSIONS,"26 English For Today Workin groups. Create a mini market in the classroom. Put some signs like the Baker's, the Grocer's, the Stationer's, etc. Some of you play the roles of shop assistants and some others will be customers. Now, the customers move round the room from one shop to the other asking the prices of the items shown in the pictures below.",public\ocr\books\class6-english\pages\page-031.json
class6-english-page-0032,class6-english,6,32,9,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Language Focus: some and any We use ‘some’ with positive statements. I've got some photographs. I need some milk. We use ‘any’ with negative statement. T haven't got any photographs. | don't see any student there. We use ‘any’ with questions. Have you got any photograph? Is there any water in the jug? Are there flowers in the garden? Yes, these are",public\ocr\books\class6-english\pages\page-032.json
class6-english-page-0033,class6-english,6,33,10,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 9 Health is Wealth ask and answer questions © participate in dialogues and conversations on familiar topics © read and understand written instructions read and understand texts Choose a health problem from the box and write next to the appropriate picture. There are names of more problems in the box than are necessary. a fever, a backache, a",public\ocr\books\class6-english\pages\page-033.json
class6-english-page-0034,class6-english,6,34,10,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 29 Look at some health problems. Choose several pieces of good advice for each problem. There are more pieces of advice than problems. Problems Advice a, take some vitamin C put some ointment on it a c. drink lots of liquid take enough rest aheadache e, put a heating pad on it f. put it under cold water the g. take some paracetamo",public\ocr\books\class6-english\pages\page-034.json
class6-english-page-0035,class6-english,6,35,10,True,True,True,2,MULTIPLE_OCR_VERSIONS,"problem and its remedy in the box below. (One is done for you), Problem Remedy an insect bite antiseptic a stomachache an antacid a burn Burnol ointment a skin injury antiseptic Have you ever had an insect bite? Oh, yes! I had one just last night, actually. A What did you do? put some antiseptic on it. Read the text. A proverb says ‘Health is Wealt",public\ocr\books\class6-english\pages\page-035.json
class6-english-page-0036,class6-english,6,36,10,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 31 Some important rules of good personal health are as follows: Balanced diet: Our food should contain correct proportion of carbohydrates, fat, protein, vitamins, minerals and water in it. Personal hygiene: We should follow the personal health practices,. Wash your hands before eating. Bathe regularly and wear clean clothes. Brus",public\ocr\books\class6-english\pages\page-036.json
class6-english-page-0037,class6-english,6,37,11,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Sohan Hi, Simon! You look so fit! Do you exercise regularly? Simon Yes, I do. I'm quite.......... about fitness. Sohan So, how......... do you exercise? Simon Well, | do jogging every day in the Then I play table tennis in the afternoon. Sohan table tennis, too. Simon Oh, will you come to play.......... then? Sohan Sure. But do you play? Simon Pret",public\ocr\books\class6-english\pages\page-037.json
class6-english-page-0038,class6-english,6,38,11,True,True,True,2,MULTIPLE_OCR_VERSIONS,Lesson 10 Remedies: Modern and Traditional read and understand written instructions ¢ read and understand texts ¢ ask and answer questions © participate in short dialogues and conversations on familiar topics © write short paragraphs Look at the following pictures. Discuss with your partner what they are. Match them with their names given in the bo,public\ocr\books\class6-english\pages\page-038.json
class6-english-page-0039,class6-english,6,39,12,True,True,True,2,MULTIPLE_OCR_VERSIONS,"People around the world are slowly changing their attitude towards medicine. More and more they are turning to natural cures. Natural cures are made of natural things, most often herbs and plants. History says that natural or herbal remedies are nothing new. People used them all along in different ages. Herbal medicines were used in ancient civilis",public\ocr\books\class6-english\pages\page-039.json
class6-english-page-0040,class6-english,6,40,12,True,True,True,2,MULTIPLE_OCR_VERSIONS,English For Today 35 Work in pairs. Complete the following expressions with words from bottle box can package tube Now. write down some sentences using these phrases. Read the dialogue and practise in pairs. Pharmacist Good morning. Can T help you? Mr Arman Do you have anything for dry skin? Pharmacist Well you may try this new body lotion. It's go,public\ocr\books\class6-english\pages\page-040.json
class6-english-page-0041,class6-english,6,41,12,True,True,True,2,MULTIPLE_OCR_VERSIONS,"36 English For Today For children's cough, grandmas give two tea-spoons of basil leaf/tulsi juice with one spoon of honey. It works excellent. Some people take grape juice and honey too. It is also good for dry cough. Hot milk with honey is also useful in cough problems. You can take ginger tea which is also a useful home remedy for cough. Lemon ju",public\ocr\books\class6-english\pages\page-041.json
class6-english-page-0042,class6-english,6,42,13,True,False,True,2,MULTIPLE_OCR_VERSIONS | TOO_SHORT_FOR_SFT,"Lesson 11 Ave You Listening?-1 ¢ recognise English sounds ¢ recognise word and stress on words in sentences © recognise intonation in sentences read aloud texts with proper pronunciation, stress and intonation to and read the following words:",public\ocr\books\class6-english\pages\page-042.json
class6-english-page-0043,class6-english,6,43,13,True,True,True,2,MULTIPLE_OCR_VERSIONS,Do you notice any difference between the vowel sounds in the words on the left column and the vowel sounds in the words on the right? Then listen to and repeat the sentences pronouncing the underlined words properly using the vowel sounds you just practised in section A. I met Benu and her room-mate in the book store. They were buying some papers a,public\ocr\books\class6-english\pages\page-043.json
class6-english-page-0044,class6-english,6,44,13,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 12 An Unseen Beauty of Bangladesh © ask and answer questions read and understand texts © write short paragraphs 1, Have you ever visited any interesting tourist spot in Bangladesh? Tf you have, what was that place. What special attractions did you see If you haven't, what places do you wish to visit? What special attractions will you see the",public\ocr\books\class6-english\pages\page-044.json
class6-english-page-0045,class6-english,6,45,13,True,True,True,2,MULTIPLE_OCR_VERSIONS,"mountain-valley, the modest movement of the river Someshwari, and the abandoned coal mines. There is another river here called Kangsa which is also known as old Someshwari. Shusong Durgapur is located under Netrokona district about 170 km north from Dhaka. Along with its scenic beauty this place is home to diverse indigenous groups: Hajong, Garo, A",public\ocr\books\class6-english\pages\page-045.json
class6-english-page-0046,class6-english,6,46,14,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 41: Can I see any other hills from there?: Yes, you....... You can see the hills of...... state from there.: Are there any temples there?: Yes, there...... You can see the Dasha Busha Temple and the........ temples there. B2. Discuss the following questions in pairs. In which district is Shusong Durgapur located? How far is Shuson",public\ocr\books\class6-english\pages\page-046.json
class6-english-page-0047,class6-english,6,47,14,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 13 Qur Pride read and understand texts ask and answer questions write short paragraphs participate in short dialogues and conversations on familiar topics December 16 is a remarkable day for Bangladeshi people. On this day in 1971, Bangladesh got independence after a nine-month-long blood-soaked __ battle against the Pakistani army. It is a ",public\ocr\books\class6-english\pages\page-047.json
class6-english-page-0048,class6-english,6,48,14,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 43 monument dedicated to the soldiers and civilians who lost their lives during the war, becomes a focal point for citizens to pay their respect. People from all walks of life gather to offer flowers, recite patriotic songs, and recall the sacrifices made by the nation’s heroes. Write the meanings of the following words: Homage, M",public\ocr\books\class6-english\pages\page-048.json
class6-english-page-0049,class6-english,6,49,15,True,True,True,2,MULTIPLE_OCR_VERSIONS,"What did you do there? Well, I went there with my........... and my brother. Many people were there! Everybody went there to pay to the Liberation War martyrs. We were in a long queue. We had flowers with us. We wreaths of flowers before the mausoleum. My parents took me to the mass graveyards. They told us about the sacrifice of our people for T w",public\ocr\books\class6-english\pages\page-049.json
class6-english-page-0050,class6-english,6,50,15,True,True,True,2,MULTIPLE_OCR_VERSIONS,English For Today 45 Read the words in Column A. They are used in the text above. Match them with their meanings in the Column B. Column A Column B celebrate cemetery wreath freedom graveyard to give up independence observe martyr garland sacrifice encouragement inspiration a person who died for a religious or political belief Work in pairs and tak,public\ocr\books\class6-english\pages\page-050.json
class6-english-page-0051,class6-english,6,51,15,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 14 The Lion’s Mane read and understand texts Read the story: Once, a lion was sitting beside a river. Suddenly he looked at his own reflection and thought ""My mane is too old. I need a new hairstyle!"" The lion then roared ""I'm the king of the jungle and this unruly mane does not fit a king."" He dipped his paw into the river and tried despera",public\ocr\books\class6-english\pages\page-051.json
class6-english-page-0052,class6-english,6,52,16,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 47 ""Flap it all up. That will suit you!” the zebra said. ""Yes, it will even look better with a bit of colour to match your moustache,” the giraffe added. “What about a few ribbons?” the vulture asked. Then cried the hyena,“I know, a paper crown is what you need!” A snake was passing by silently. Seeing the king there he simply rai",public\ocr\books\class6-english\pages\page-052.json
class6-english-page-0053,class6-english,6,53,17,True,True,True,2,MULTIPLE_OCR_VERSIONS,"48 English For Today A2. Answer the following questions: Why did the lion want to change his hairstyle? What was the giraffe's suggestion? Do you agree with the snake’s comment? Why/Why not? A3, Every animal has something that makes it different from others. Now, match the words in column A with the words in Column B to know the different marks of ",public\ocr\books\class6-english\pages\page-053.json
class6-english-page-0054,class6-english,6,54,17,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 15 An Old People’s Home ¢ read and understand texts ask and answer questions ¢ write short paragraphs A, Read the text below: Mariam is a student of class six in a government school in Rajshahi. Her mother works in an office and her f father is a businessman. Mariam is very fond of her aunt, her father's sister, Suraitya Begum who lives in a",public\ocr\books\class6-english\pages\page-054.json
class6-english-page-0055,class6-english,6,55,17,True,True,True,2,MULTIPLE_OCR_VERSIONS,"all love her very much. She tells them about her school and friends, her studies, her family. And they often tell her funny stories, fairy tales and ghost Read the text carefully again and match the words on the left with the words on the right that have similar meanings. bored woman whose husband has died and who hasn't married again miserable | a",public\ocr\books\class6-english\pages\page-055.json
class6-english-page-0056,class6-english,6,56,18,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 51 Dear Sharmila, How are you? I'm writing to share with you a plan that I have. I know some old, physically weak and lonely people in our town. Some of them are quite well-off and some are not. But they all share one common thing that is they live alone and have no one to take care of them in sickness. Sometimes they don't have a",public\ocr\books\class6-english\pages\page-056.json
class6-english-page-0057,class6-english,6,57,18,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 16 Boats Sail on the Rivers © recognise English sounds recognise intonation in sentences © understand and enjoy stories and poems Boats sail on the rivers - Christina Georgina Rossetti Boats sail on the rivers, And ships sail on the seas; But clouds that sail across the sky Are prettier far than these. There are bridges on the rivers, As pre",public\ocr\books\class6-english\pages\page-057.json
class6-english-page-0058,class6-english,6,58,18,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 17 Ave You Listening?-2 recognise English sounds * recognise word stress and stress on words in sentences recognise intonation in sentences ¢ use English sounds appropriately © use proper intonation in sentences ¢ read aloud texts with proper pronunciation, stress and intonation pronounce each word, as the spellings and sounds can be quite t",public\ocr\books\class6-english\pages\page-058.json
class6-english-page-0059,class6-english,6,59,18,True,True,True,2,MULTIPLE_OCR_VERSIONS,"54 English For Today Al, Underline the words in the poem which have the same letter combinations in their spelling, but different pronunciation. Practice saying them with a friend. A2. The words “alive”, “five”, and “write” from the poem have the same vowel sound. Now, read and listen to some other words that have the same sound as these. ice-cream",public\ocr\books\class6-english\pages\page-059.json
class6-english-page-0060,class6-english,6,60,19,True,True,True,2,MULTIPLE_OCR_VERSIONS,Read the sentences below and choose the right words from the list of words in the box to fill in the blanks. nine time fine five ride shore bicycle night tide rise Mike is a young accountant. He works from to in a government office. In his free he loves to his along the sea. He often comes to the sea beach at. He loves to watch the moon in the sky ,public\ocr\books\class6-english\pages\page-060.json
class6-english-page-0061,class6-english,6,61,20,True,True,True,2,MULTIPLE_OCR_VERSIONS,Lesson 18 Make Your Snacks read and understand written instructions © read and understand texts Mrs. Nilufar Ahmed is teaching her son Adib how to make easy snacks at home. She is reading a set of instructions from a recipe book. First look at the pictures of the things you will need to make an egg sandwich and match them with their names in the li,public\ocr\books\class6-english\pages\page-061.json
class6-english-page-0062,class6-english,6,62,20,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 57 Remember to wash and dry all vegetables before preparing them. Be extra careful when handling sharp knife. You may wish to choose a variety of fillings, For example, 4 slices of cucumber, | slice of meat such as chicken loaf or meat loaf, mustard and Al, Fill in the blanks and complete the instructions for making First, take tw",public\ocr\books\class6-english\pages\page-062.json
class6-english-page-0063,class6-english,6,63,21,True,True,True,2,MULTIPLE_OCR_VERSIONS,"58 English For Today A recipe: how to make the perfect Omelette Use a minimum of per omelette. Break the eggs of water and just a little the bowl. Add slices of and ~ well. You need a little bit of j | Beat the mix with a Put oil in a. Then the oil. When the oil is hot, Pa the egg, onion and chilli mix into it. Spread the mix round the pan. Leave t",public\ocr\books\class6-english\pages\page-063.json
class6-english-page-0064,class6-english,6,64,21,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 59 Now, use some of the verbs above to write a simple recipe for making instant noodles. First, water into a pot. Put your pot on a stove and the water for two minutes. some onions and a green chilli thinly. Then, add noodles into the water. gently with a spoon. Add the spices that come with the noodles. Add the onions and green c",public\ocr\books\class6-english\pages\page-064.json
class6-english-page-0065,class6-english,6,65,22,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 19 Stop, Look and Listen read aloud texts with proper pronunciation, stress and intonation * read and understand texts ""Stop, Look, and Listen” Is a very good rule to use Not just before you cross a street, But when you look for clues. Al, Did you enjoy the poem? Discuss with a partner about what the poet is trying to say here. Quickly read ",public\ocr\books\class6-english\pages\page-065.json
class6-english-page-0066,class6-english,6,66,22,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 61 Hason Raja: The Mystic Bard ¢ read and understand texts © ask and answer questions ¢ read aloud with proper pronunciation, stress and intonation anything about them? A “bard” is one who writes poems and songs. A “mystic” is one who seeks truth and strives to become united with God through prayer and The pictures above are of th",public\ocr\books\class6-english\pages\page-066.json
class6-english-page-0067,class6-english,6,67,22,True,True,True,2,MULTIPLE_OCR_VERSIONS,"wrote about a thousand songs which reflected his thoughts. In 1906, he published a book called Hason Udash. The book had 206 songs in it. In his songs, he called himself ‘Crazy Hason Raja’, or ‘Pagla Hason Raja’. Another volume called Hason Raja Samagra (Complete Works of Hason Raja) was also published, which contained 500 poems and songs. Hason Ra",public\ocr\books\class6-english\pages\page-067.json
class6-english-page-0068,class6-english,6,68,23,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 21 Wonders of the World-1 follow instructions, commands, requests accordingly read and understand texts Now, listen to the audio and fill in the gaps of the following text: The pyramids are huge for the ancient kings and queens of Egypt. These kings and queens are known as the Tt needed a few thousand to build the pyramids. The most FAMOUS a",public\ocr\books\class6-english\pages\page-068.json
class6-english-page-0069,class6-english,6,69,23,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Now, make some questions based on the passage you read, using the cues given below: Shah Jahan built To complete the Taj it took Read the text about one of the wonders of the world, the Eiffel Tower. Put the verbs in brackets into the correct tense. The Eiffel Tower is a lattice tower in Paris. It (be) built in Now it i8 (consider) a cultural icon ",public\ocr\books\class6-english\pages\page-069.json
class6-english-page-0070,class6-english,6,70,23,True,True,True,2,MULTIPLE_OCR_VERSIONS,Lesson 22 Wonders of the World-2 read and understand texts write short paragraphs Nira and Mong Pru are excited! They are waiting eagerly for their teacher to come and start the lesson. They are going to read about the wonders of the modern world. Read the text below: People often speak about the wonders of the past. Mostly they were huge buildings,public\ocr\books\class6-english\pages\page-070.json
class6-english-page-0071,class6-english,6,71,24,True,True,True,2,MULTIPLE_OCR_VERSIONS,"travel much faster and higher than birds. Not only do we travel from one country to another, but we have also invented spacecraft that can travel from one planet to another Humans have set foot on the moon, and are even exploring Mars! Advancements in space travel technology have enabled scientists and astronauts to explore distant planets and moon",public\ocr\books\class6-english\pages\page-071.json
class6-english-page-0072,class6-english,6,72,24,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Read the words in Column A and match the opposite meanings given in Column B. Column A Column B unbelievable simple awesome backdated fabulous ordinary tremendous believable Now, read the following dialogue and fill in the gaps with suitable words, You can use some of the words from the earlier excercises in activity Al & A2 Have you finished readi",public\ocr\books\class6-english\pages\page-072.json
class6-english-page-0073,class6-english,6,73,24,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 23 We Live in a Global Village e read and understand the texts ¢ follow instructions, commands, request and act accordingly © understand and enjoy stories and poems A, Look at the pictures and discuss with your partner what you see in. Sohan has received a letter from his uncle, who is a captain in the Bangladesh Army. At present, he is in C",public\ocr\books\class6-english\pages\page-073.json
class6-english-page-0074,class6-english,6,74,24,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 69 went to a Singaporean school. After a few years, he went to Denmark and completed his schooling there. For higher studies, he enrolled in a university in the US, and completed both his bachelor’s and master’s degrees there. Since then, he has travelled to many other countries around the world. Ashar is now in Congo as a member ",public\ocr\books\class6-english\pages\page-074.json
class6-english-page-0075,class6-english,6,75,25,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Where is Congo? Who called Ashar Santoso ‘Mr Global Citizen’? Why? Would you like to be a global citizen? If you got the chance to meet Ashar Santoso, what questions would you ask him? Make a list of five questions. The term village’ was.......... used by Marshal McLuhan. In 1962 and he wrote two books on media and communication. In his books he sa",public\ocr\books\class6-english\pages\page-075.json
class6-english-page-0076,class6-english,6,76,25,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Lesson 24 Our Wage Earners e ask and answer questions ¢ read and understand texts ® participate in short dialogues and conversations on familiar topics say which words are related with the pictures. wage earner, skilled worker, economy, job, tourists, pleasure, abroad, B, Answer the following questions in pairs, then read the text e Do you know any",public\ocr\books\class6-english\pages\page-076.json
class6-english-page-0077,class6-english,6,77,25,True,True,True,2,MULTIPLE_OCR_VERSIONS,"B1. Complete column B of the table below with information from the text you have read. Column A Column B Countries which prefer Bangladeshi Skills required for good jobs abroad Advantages of developing language Advantages of getting better jobs Sohan had a conversation with a Bangladeshi doctor, Mr Arman who works in a hospital in Cairo, Egypt. Rea",public\ocr\books\class6-english\pages\page-077.json
class6-english-page-0078,class6-english,6,78,26,True,True,True,2,MULTIPLE_OCR_VERSIONS,"English For Today 73 Language Focus Modal verbs can/can't, could/couldn't, may, should, must/mustn't: Can you tell me something about Cairo? Yes, I can. /No, I can't. You could enjoy the night view of Port What else could I see there?) Suez. But you couldn't go across the Red Sea without valid visa. You can have traditional Egyptian dishes What can",public\ocr\books\class6-english\pages\page-078.json
class6-english-page-0079,class6-english,6,79,26,True,True,True,2,MULTIPLE_OCR_VERSIONS,the capital of ancient Bengal there. the Lalbagh Fort in the old part of Dhaka. a couple of hours at the Baldha Garden. the Ahsan Manzil too. a boat ride on the Buriganga river. the taste of Mughlai Khana once you're in Dhaka. a Tom Tom ride from Sadarghat to Gulistan. Chatpati or Fuchka on the footpath. But you......... tap water in a restaurant. ,public\ocr\books\class6-english\pages\page-079.json
class6-english-page-0080,class6-english,6,80,26,True,True,True,2,MULTIPLE_OCR_VERSIONS,"The Concert for Bangladesh ¢ read and understand texts ¢ ask and answer questions © participate in short dialogues and conversations on familiar topics It’s Friday evening. Mr. Farhad is watching television in the sitting room. His daughter Fahmida comes in. A tall, bearded man with long hair is playing a guitar and singing a song, “Bangladesh, Ban",public\ocr\books\class6-english\pages\page-080.json
class6-english-page-0081,class6-english,6,81,26,True,True,True,2,MULTIPLE_OCR_VERSIONS,"Mr. Farhad Well, the Concert for Bangladesh was held on the Ist August, 1971 at the Madison Square Garden, New York. George Harrison and some other famous musicians performed in that live concert in front of an audience of about forty thousand people. It was organised to make the world aware of the sufferings of Bangladesh during our liberation war",public\ocr\books\class6-english\pages\page-081.json
