example_id,class_level,book_id,source_chunk_ids,task_type,question,answer,options,correct_answer,passage,evidence_quote,status,human_decision,review_notes
NCTB-SFT-00011,6,class6-english,class6-english-chunk-0006;class6-english-chunk-0007,passage_grounded_qa,Where was Sajjad going?,To Dhaka to his elder sister’s,,,My friend Sajjad and I were sitting at the railway station. I came to see him off. Sajjad was going to Dhaka to his elder sister's.,Sajjad was going to Dhaka to his elder sister's,candidate,,
NCTB-SFT-00012,6,class6-english,class6-english-chunk-0008;class6-english-chunk-0009,mcq,What does Mary's mother do?,,She is a teacher. | She works part-time at the Town Hall Library. | She is an architect. | She is a doctor.,She works part-time at the Town Hall Library.,,She works part-time at the Town Hall Library.”,candidate,,
NCTB-SFT-00013,6,class6-english,class6-english-chunk-0008;class6-english-chunk-0009,mcq,What does Rashid Ahmed do?,,Lawyer | Doctor | Architect | Teacher,Doctor,,"Rashid Ahmed, Doctor Sumana Chowdhury, Lawyer",candidate,,
NCTB-SFT-00014,6,class6-english,class6-english-chunk-0012;class6-english-chunk-0013,mcq,What dish is Baba cooking?,,pizza | moragpolau | rice pudding | noodles,moragpolau,,"'Baba It's ‘moragpolau’, dear, your favourite dish.'",candidate,,
NCTB-SFT-00015,6,class6-english,class6-english-chunk-0012;class6-english-chunk-0013,short_qa,What does Imran's mother ask him to do?,go to the local market,,,,She asks Imran to go to the local market.,candidate,,
NCTB-SFT-00016,6,class6-english,class6-english-chunk-0012;class6-english-chunk-0013,passage_grounded_qa,What does Mila say when she comes in?,"""Hi, Mom! I'm back!""",,,"Mila Hi, Mom! I'm back!","Mila Hi, Mom! I'm back!",candidate,,
NCTB-SFT-00017,6,class6-english,class6-english-chunk-0012;class6-english-chunk-0013,short_qa,What is Mila's favorite dish?,'moragpolau',,,,"""Baba It's ‘moragpolau’, dear, your favourite dish.""",candidate,,
NCTB-SFT-00018,6,class6-english,class6-english-chunk-0012;class6-english-chunk-0013,passage_grounded_qa,Where do elephants use their trunks and tails?,In circus rings,,,Trunks and tails Are handy things When elephants walk In Circus rings.,Trunks and tails /Are handy things /When elephants walk /In Circus rings.,candidate,,
NCTB-SFT-00019,6,class6-english,class6-english-chunk-0014;class6-english-chunk-0016,mcq,What did Imran ask for in terms of sugar?,,one kg. | half kg. | two kg. | one litre.,one kg.,,"Imran Just one litre, ...and one kg of sugar, please.",candidate,,
NCTB-SFT-00020,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,passage_grounded_qa,How long does Simon jog for?,Half an hour.,,,I'm Simon. I love to exercise. I usually exercise every day. I get up early in the morning and do jogging for half an hour.,I get up early in the morning and do jogging for half an hour.,candidate,,
NCTB-SFT-00021,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,mcq,What activity does Simon play in the afternoon?,,Swimming | Table tennis | Football | Badminton,Table tennis,,"Well, | do jogging every day in the Then I play table tennis in the afternoon.",candidate,,
NCTB-SFT-00022,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,passage_grounded_qa,What are some of the personal hygiene practices mentioned?,Wash your hands before eating; bathe regularly and wear clean clothes.,,,"Personal hygiene: We should follow the personal health practices, Wash your hands before eating. Bathe regularly and wear clean clothes.","Personal hygiene: We should follow the personal health practices, Wash your hands before eating. Bathe regularly and wear clean clothes.",candidate,,
NCTB-SFT-00023,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,short_qa,What did you do when you had an insect bite?,Put some antiseptic on it.,,,,A What did you do? put some antiseptic on it.,candidate,,
NCTB-SFT-00024,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,mcq,What does Simon do regularly?,,Reading books | Jogging | Watching television | Playing video games,Jogging,,I get up early in the morning and do jogging for half an hour.,candidate,,
NCTB-SFT-00025,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,short_qa,What does Simon say about Sohan's ability to play?,"No problem, Sohan. I won't play...",,,,"Simon No problem, Sohan. I won't play .......... .",candidate,,
NCTB-SFT-00026,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,passage_grounded_qa,What kind of exercise is recommended?,Take part in games and sports and take physical exercise regularly.,,,Taking regular exercise: We should take part in games and sports and take physical exercise regularly.,Taking regular exercise: We should take part in games and sports and take physical exercise regularly.,candidate,,
NCTB-SFT-00027,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,short_qa,What proverb is mentioned in the text?,Health is Wealth.,,,,A proverb says ‘Health is Wealth’.,candidate,,
NCTB-SFT-00028,6,class6-english,class6-english-chunk-0017;class6-english-chunk-0018,mcq,Which of the following is essential for good health?,,Eating unhealthy food | Lack of physical exercise | Proper food and nutrition | Ignoring cleanliness,Proper food and nutrition,,"To keep in good health we should be careful about hygiene. The rules and rules of hygiene. Proper food and nutrition, physical exercise, rest and sleep, cleanliness, and proper medicare are essential for good health.",candidate,,
NCTB-SFT-00029,6,class6-english,class6-english-chunk-0019;class6-english-chunk-0021,short_qa,What are natural cures made of?,"Natural cures are made of natural things, most often herbs and plants.",,,,"More and more they are turning to natural cures. Natural cures are made of natural things, most often herbs and plants.",candidate,,
NCTB-SFT-00030,6,class6-english,class6-english-chunk-0019;class6-english-chunk-0021,mcq,What is recommended for headaches?,,Eating ice cream | Eating apples | Drinking coffee | Taking a nap,Eating apples,,Eating apples give good result in headaches.,candidate,,
NCTB-SFT-00031,6,class6-english,class6-english-chunk-0019;class6-english-chunk-0021,passage_grounded_qa,What is used to relieve an aching tooth?,A pinch of pepper powder mixed with common salt,,,A pinch of pepper powder mixed with common salt works well on the aching tooth.,A pinch of pepper powder mixed with common salt works well on the aching tooth.,candidate,,
NCTB-SFT-00032,6,class6-english,class6-english-chunk-0019;class6-english-chunk-0021,mcq,Which of these civilizations historically utilized herbal remedies?,,Australia | China | Brazil | Canada,China,,"Herbal medicines were used in ancient civilisations like India, China, Greece, Egypt and Rome.",candidate,,
NCTB-SFT-00033,6,class6-english,class6-english-chunk-0023;class6-english-chunk-0024,mcq,Approximately how many people were killed during the Liberation War?,,One million | Three million | Five million | Seven million,Three million,,Pakistani army killed three million people and assaulted thousands of women.,candidate,,
NCTB-SFT-00034,6,class6-english,class6-english-chunk-0023;class6-english-chunk-0024,mcq,Shusong Durgapur is located in which district?,,Dhaka District | Chittagong District | Netrokona District | Barishal District,Netrokona District,,Shusong Durgapur is located under Netrokona district...,candidate,,
NCTB-SFT-00035,6,class6-english,class6-english-chunk-0023;class6-english-chunk-0024,passage_grounded_qa,Where does the military parade take place?,The National Parade ground,,,"The National Parade ground hosts a grand military parade where the president, the prime minister and dignitaries from government and non-government sectors join.",The National Parade ground hosts a grand military parade...,candidate,,
NCTB-SFT-00036,6,class6-english,class6-english-chunk-0025;class6-english-chunk-0027,short_qa,What did the lion call his mane?,Unruly,,,,"The lion then roared ""I'm the king of the jungle and this unruly mane does not fit a king.""",candidate,,
NCTB-SFT-00037,6,class6-english,class6-english-chunk-0025;class6-english-chunk-0027,mcq,What did the lion do to try and fix his mane?,,He cut it short. | He dipped his paw into the river. | He asked a friend for help. | He dyed it a different color.,He dipped his paw into the river.,,He dipped his paw into the river and tried desperately to smooth his mane.,candidate,,
NCTB-SFT-00038,6,class6-english,class6-english-chunk-0028;class6-english-chunk-0030,passage_grounded_qa,What does Mariam's aunt dislike?,Children's presence.,,,The old people Mariam visits do not like children’s presence.,The old people Mariam visits do not like children’s presence.,candidate,,
NCTB-SFT-00039,6,class6-english,class6-english-chunk-0028;class6-english-chunk-0030,short_qa,What does Mrs. Nilufar Ahmed teach her son?,How to make easy snacks.,,,,Mrs. Nilufar Ahmed is teaching her son Adib how to make easy snacks at home.,candidate,,
NCTB-SFT-00040,6,class6-english,class6-english-chunk-0028;class6-english-chunk-0030,mcq,What is Mike’s job?,,Teacher | Accountant | Doctor | Engineer,Accountant,,Mike is a young accountant. He works from to in a government office.,candidate,,
NCTB-SFT-00041,6,class6-english,class6-english-chunk-0028;class6-english-chunk-0030,mcq,What should you put on top of the bread before adding the egg?,,Tomato | Cucumber | Cheese | Butter,Cheese,,"Then, put a slice of cheese on the buttered side of the bread.",candidate,,
NCTB-SFT-00042,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,passage_grounded_qa,How long did it take to build the Taj Mahal?,21 years,,,It took 21 years and thousands of artisans and craftsmen to complete the Taj Mahal.,It took 21 years…,candidate,,
NCTB-SFT-00043,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,mcq,How many songs were in Hason Udash?,,100 | 206 | 500 | 81,206,,The book had 206 songs in it.,candidate,,
NCTB-SFT-00044,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,short_qa,How many steps are there to go from ground level to the first level of the Eiffel Tower?,Over 300 steps,,,,A visitor (have) to walk over 300 steps to go from ground level to the first level.,candidate,,
NCTB-SFT-00045,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,short_qa,How tall is the Eiffel Tower?,"320 metres (1,050 ft)",,,,"It is 320 metres (1,050 ft) tall…",candidate,,
NCTB-SFT-00046,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,mcq,What is the area of the Taj Mahal?,,1003 acres or 405 hectares | 2000 square meters | 500 square kilometers | 100 square kilometers,1003 acres or 405 hectares,,The Taj has an area of about 1003 acres or 405 hectares.,candidate,,
NCTB-SFT-00047,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,mcq,What is the Taj Mahal known as?,,The Great Mosque | The Taj | The Golden Palace | The White Tower,The Taj,,"The Taj Mahal is also known as ""the Taj"".",candidate,,
NCTB-SFT-00048,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,short_qa,What was Hason Raja’s nickname?,Crazy Hason Raja or Pagla Hason Raja,,,,"'he called himself ‘Crazy Hason Raja’, or ‘Pagla Hason Raja’.",candidate,,
NCTB-SFT-00049,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,passage_grounded_qa,When was the Eiffel Tower built?,In Paris,,,The Eiffel Tower is a lattice tower in Paris. It (be) built in,The Eiffel Tower is a lattice tower in Paris.,candidate,,
NCTB-SFT-00050,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,short_qa,Where is Giza located?,"Near Cairo, the of Egypt.",,,,"Giza is a place near Cairo, the of Egypt.",candidate,,
NCTB-SFT-00051,6,class6-english,class6-english-chunk-0033;class6-english-chunk-0034,passage_grounded_qa,Why did Shah Jahan build the Taj Mahal?,As a token of love for his wife,,,"The Mughal emperor, Shah Jahan loved his wife Mumtaz Mahal more than his life. Mumtaz died at an early age.",Shah Jahan was very shocked at her death. So he built the Taj Mahal as a token of love for his wife.,candidate,,
NCTB-SFT-00052,6,class6-english,class6-english-chunk-0036;class6-english-chunk-0037,passage_grounded_qa,What are mobile phones helpful for?,Mobile phones help us greatly in our daily life.,,,Mobile phone is another useful invention of the world. Like computers mobile phones help us greatly in our daily life.,mobile phones help us greatly in our daily life.,candidate,,
NCTB-SFT-00053,6,class6-english,class6-english-chunk-0036;class6-english-chunk-0037,mcq,What is a spacecraft designed to do?,,Carry passengers on short flights | Travel from one planet to another | Deliver packages across the country | Provide shelter in extreme weather,Travel from one planet to another,,spacecraft that can travel from one planet to another,candidate,,
NCTB-SFT-00054,6,class6-english,class6-english-chunk-0039;class6-english-chunk-0040,short_qa,What does Reza call Ashar?,Mr Global Citizen,,,,'We call him ‘Mr Global Citizen’.',candidate,,
NCTB-SFT-00055,6,class6-english,class6-english-chunk-0039;class6-english-chunk-0040,short_qa,Where did Ashar go to school after Singapore?,He went to Denmark and completed his schooling there.,,,,"After a few years, he went to Denmark and completed his schooling there.",candidate,,
NCTB-SFT-00056,6,class6-english,class6-english-chunk-0039;class6-english-chunk-0040,passage_grounded_qa,Why do these countries prefer Bangladeshi workers?,Because they are hard-working.,,,These countries prefer Bangladeshi workers because they are hard-working.,These countries prefer Bangladeshi workers because they are hard-working.,candidate,,
NCTB-SFT-00057,6,class6-english,class6-english-chunk-0041;class6-english-chunk-0043,mcq,In what year did George Harrison receive posthumous honour from Bangladesh?,,1971 | 2008 | 2012 | 1995,2012,,G. Harrison was posthumously honoured by the people of Bangladesh in 2012,candidate,,
NCTB-SFT-00058,6,class6-english,class6-english-chunk-0041;class6-english-chunk-0043,short_qa,What did Mr. Farhad call George Harrison?,Dear!,,,,"Mr. Farhad = You are right, dear! G. Harrison was posthumously honoured...",candidate,,
NCTB-SFT-00059,6,class6-english,class6-english-chunk-0041;class6-english-chunk-0043,short_qa,What did UNICEF receive from the concert?,Millions of dollars.,,,,At the same time it raised millions of dollars for UNICEF relief fund.,candidate,,
NCTB-SFT-00060,6,class6-english,class6-english-chunk-0041;class6-english-chunk-0043,passage_grounded_qa,When did George Harrison receive an honour?,In 2012.,,,"You are right, dear! G. Harrison was posthumously honoured by the people of Bangladesh in 2012",G. Harrison was posthumously honoured by the people of Bangladesh in 2012,candidate,,
NCTB-SFT-00061,6,class6-english,class6-english-chunk-0041;class6-english-chunk-0043,short_qa,Where was the Concert for Bangladesh held?,"At the Madison Square Garden, New York.",,,,"Mr. Farhad Well, the Concert for Bangladesh was held on the Ist August, 1971 at the Madison Square Garden, New York.",candidate,,
NCTB-SFT-00062,6,class6-english,class6-english-chunk-0041;class6-english-chunk-0043,short_qa,Who organized the Concert for Bangladesh?,George Harrison and some other famous musicians.,,,,George Harrison and some other famous musicians performed in that live concert.,candidate,,
NCTB-SFT-00063,6,class6-english,class6-english-chunk-0044;class6-english-chunk-0045,passage_grounded_qa,What colour shirt does the assistant offer to show Imran?,Sky blue.,,,"Assistant Just a moment please, I'll check. How about this one? It's a nice sky blue.","Assistant Just a moment please, I’ll check. How about this one? It’s a nice sky blue.",candidate,,
NCTB-SFT-00064,6,class6-english,class6-english-chunk-0044;class6-english-chunk-0045,short_qa,What does Imran say about the first shirt he tries on?,It’s too big.,,,,Imran A medium! But it's too big!,candidate,,
NCTB-SFT-00065,6,class6-english,class6-english-chunk-0044;class6-english-chunk-0045,short_qa,What does the speaker want people to do?,Relieve the people of Bangladesh.,,,,"'Now, won't you lend your hand and understand / Relieve the people of Bangladesh'",candidate,,
NCTB-SFT-00066,6,class6-english,class6-english-chunk-0044;class6-english-chunk-0045,mcq,What size shirt does Imran initially ask for?,,Small | Large | Medium | Extra Large,Medium,,Imran May be a medium?,candidate,,
NCTB-SFT-00067,6,class6-english,class6-english-chunk-0046;class6-english-chunk-0047,mcq,What did Ms. Chowdhury tell the students to do with their books and papers?,,Leave them on their desks. | Put them in a drawer. | Take them to the teacher. | All books and papers from your desks.,All books and papers from your desks.,,"‘Teacher sees books and papers on students’ desks. She tells them, all books and papers from your desks.’",candidate,,
NCTB-SFT-00068,6,class6-english,class6-english-chunk-0051;class6-english-chunk-0052,mcq,What did Frog advise Toad to do with his seeds?,,Water them every day. | Shout at them loudly. | Leave them alone for a few days. | Put them in the sun.,Leave them alone for a few days.,,"""Leave them alone for a few days. Let the sun shine on them, let the rain fall on them.""",candidate,,
NCTB-SFT-00069,6,class6-english,class6-english-chunk-0051;class6-english-chunk-0052,short_qa,What did Toad say when he put his head close to the ground?,"‘Now seeds, start growing!’",,,,"""Now seeds, start growing!""",candidate,,
NCTB-SFT-00070,6,class6-english,class6-english-chunk-0053;class6-english-chunk-0055,mcq,How do the people of Sankar dispose of their rubbish?,,They burn it in their yards. | They throw it on the streets. | They put it in plastic bins and leave them in front of their houses. | They keep it inside their homes.,They put it in plastic bins and leave them in front of their houses.,,"They put it in plastic bins and leave them in front of their houses,",candidate,,
NCTB-SFT-00071,6,class6-english,class6-english-chunk-0053;class6-english-chunk-0055,mcq,What do farmers grow in their fields?,,"Cotton and sugarcane | Rice, jute and vegetables | Wheat and barley | Tea and spices","Rice, jute and vegetables",,"Farmers grow rice, jute and vegetables in their fields.",candidate,,
NCTB-SFT-00072,6,class6-english,class6-english-chunk-0053;class6-english-chunk-0055,short_qa,What do fishermen catch?,Fishermen catch fish from rivers and ponds.,,,,Fishermen catch fish from rivers and ponds.,candidate,,
NCTB-SFT-00073,6,class6-english,class6-english-chunk-0053;class6-english-chunk-0055,mcq,What festivals do the villagers celebrate?,,Christmas and Easter | Pahela Boishakh and Nabanna Utsab | Diwali and Holi | New Year's Day and Independence Day,Pahela Boishakh and Nabanna Utsab,,The villagers celebrate different festivals like Pahela Boishakh and Nabanna Utsab with joy.,candidate,,
NCTB-SFT-00074,6,class6-english,class6-english-chunk-0053;class6-english-chunk-0055,mcq,What happens if Bulbul stops working for a few days?,,The area will become more beautiful. | The whole area will turn into a big dustbin. | People will have more time to relax. | The bins will be emptied quickly.,The whole area will turn into a big dustbin.,,"He realises, if he stops working even for a few days only, the whole area will turn into a big dustbin.",candidate,,
NCTB-SFT-00075,6,class6-english,class6-english-chunk-0053;class6-english-chunk-0055,mcq,Where does Bulbul collect rubbish from?,,From the Dhaka Zoo | From the Sankar area | From the market | From the river,From the Sankar area,,Bulbul collects rubbish from the Sankar area...,candidate,,
NCTB-SFT-00076,6,class6-english,class6-english-chunk-0056;class6-english-chunk-0057,short_qa,What did Mamun find on the road?,A purse.,,,,"One day, while he was returning from school, he found a purse on the road.",candidate,,
NCTB-SFT-00077,6,class6-english,class6-english-chunk-0056;class6-english-chunk-0057,short_qa,What does Bulbul do to keep the area clean?,Bulbul wakes up early in the morning to collect rubbish from the Sankar area and keep it clean.,,,,Bulbul wakes up early in the morning to collect rubbish from the Sankar area and keep it clean.,candidate,,
NCTB-SFT-00078,6,class6-english,class6-english-chunk-0056;class6-english-chunk-0057,mcq,What does the story teach us?,,That reading is unimportant. | That every job is important. | That playing games is better than studying. | That lying is sometimes acceptable.,That every job is important.,,"The story teaches us that every job is important, and workers like Bulbul play a crucial role in keeping the environment clean and healthy",candidate,,
NCTB-SFT-00079,6,class6-english,class6-english-chunk-0056;class6-english-chunk-0057,mcq,What is Nadim/Nadia asking Fahim/Fahima?,,About their favorite colors. | About the importance of reading newspaper. | About their school activities. | About their family members.,About the importance of reading newspaper.,,"Now, write a dialogue between you and your friend about the importance of reading newspaper.",candidate,,
NCTB-SFT-00080,6,class6-english,class6-english-chunk-0056;class6-english-chunk-0057,short_qa,What is stated about fruit trees in village gardens?,There are no fruit trees in village gardens.,,,,There are no fruit trees in village gardens.,candidate,,
NCTB-SFT-00081,6,class6-english,class6-english-chunk-0056;class6-english-chunk-0057,passage_grounded_qa,What were Nazrul Islam's interests?,"Adventures, music and jatra party.",,,"He was fond of adventures, music and jatra party.","He was fond of adventures, music and jatra party.",candidate,,
NCTB-SFT-00082,7,class7-english,class7-english-chunk-0001;class7-english-chunk-0002,mcq,What is the basis for the 2012 curriculum?,,The 2005 Curriculum | The National Education Policy 2010 | A completely new system | No specific basis,The National Education Policy 2010,,The National Curriculum 2012 has been adopted to achieve the goals of the National Education Policy 2010.,candidate,,
NCTB-SFT-00083,7,class7-english,class7-english-chunk-0005;class7-english-chunk-0006,mcq,What does ‘a pencil’ refer to?,,A book. | A eraser. | A pencil. | A pen.,A pencil.,,Can | have a pencil?,candidate,,
NCTB-SFT-00084,7,class7-english,class7-english-chunk-0005;class7-english-chunk-0006,short_qa,What is ‘Excuse me’ a polite way of doing?,Drawing somebody’s attention.,,,,'Excuse me' is a polite way of drawing somebody’s attention.,candidate,,
NCTB-SFT-00085,7,class7-english,class7-english-chunk-0007;class7-english-chunk-0008,mcq,What does ‘babbling’ mean?,,To sleep soundly | To talk in a quick and excited way | To eat a large meal | To play with toys,To talk in a quick and excited way,,'to talk in a quick and excited way that is difficult t0',candidate,,
NCTB-SFT-00086,7,class7-english,class7-english-chunk-0007;class7-english-chunk-0008,mcq,What is a ‘babysitter’?,,A teacher | A person who takes care of babies or children | A doctor | A cook,A person who takes care of babies or children,,'noun a person who takes care of babies or children',candidate,,
NCTB-SFT-00087,7,class7-english,class7-english-chunk-0011;class7-english-chunk-0012,passage_grounded_qa,At what time did the function start?,4 pm,,,"""When did the function start?"" Flora asked. ""Oh, it started on time—just at 4 pm,"" Farabi says. ""Our Head Teacher first read out the annual report. Then the chief guest delivered a short speech. He highly praised the overall performance of the school and its excellent JSC and SSC Exam. results. Then he gave away the prizes among the students for their outstanding activities.""","""Oh, it started on time—just at 4 pm,"" Farabi says.",candidate,,
NCTB-SFT-00088,7,class7-english,class7-english-chunk-0011;class7-english-chunk-0012,short_qa,What did Flora want to know about?,The prize-giving ceremony of Farabi’s school.,,,,"""Flora wants to know about the prize-giving ceremony of Farabi’s school.""",candidate,,
NCTB-SFT-00089,7,class7-english,class7-english-chunk-0011;class7-english-chunk-0012,short_qa,What is Farabi’s best friend’s name?,Flora,,,,Farabi is Flora’s best friend.,candidate,,
NCTB-SFT-00090,7,class7-english,class7-english-chunk-0011;class7-english-chunk-0012,mcq,What was decorated on the dais at the prize-giving day?,,The school auditorium | Prizes | The students | The guardians,Prizes,,Prizes were also neatly displayed on a table on the dais.,candidate,,
NCTB-SFT-00091,7,class7-english,class7-english-chunk-0013;class7-english-chunk-0014,short_qa,What did the Head Teacher call Flora?,A highly intelligent child.,,,,"""Good! You’re a highly intelligent child. You know a lot.""",candidate,,
NCTB-SFT-00092,7,class7-english,class7-english-chunk-0015;class7-english-chunk-0016,short_qa,What did Farabi stop talking to his friend because of?,Something sad happened to him.,,,,Farabi didn’t want to talk to Flora because something sad happened to him.,candidate,,
NCTB-SFT-00093,7,class7-english,class7-english-chunk-0015;class7-english-chunk-0016,mcq,Why did Shahana’s husband want her to work in an office?,,Teaching was not a job. | Teaching was less paid. | People did not like teaching. | Shahana didn't have the qualifications.,Teaching was not a job.,,Because he thought teaching was not a job.”,candidate,,
NCTB-SFT-00094,7,class7-english,class7-english-chunk-0019;class7-english-chunk-0021,short_qa,What did Gen Z realize about political establishments?,The ineffectiveness of political establishments.,,,,"""the ineffectiveness of political establishments""",candidate,,
NCTB-SFT-00095,7,class7-english,class7-english-chunk-0019;class7-english-chunk-0021,mcq,What does ‘blessed’ mean in the context of the poem?,,Ordinary | Common | Noble | Unimportant,Noble,,"""blessed = noble""",candidate,,
NCTB-SFT-00096,7,class7-english,class7-english-chunk-0027;class7-english-chunk-0028,mcq,What did Dr Mahmud Hasan do during the Liberation War?,,He took part in the battle. | He worked for the government. | He set up a hospital. | He taught at a school.,He took part in the battle.,,He took part in the battle.,candidate,,
NCTB-SFT-00097,7,class7-english,class7-english-chunk-0031;class7-english-chunk-0032,mcq,In what year did Helen Keller receive her BA degree with Honours?,,1890. | 1892. | 1896. | 1904.,1904.,,In 1904 Helen received her BA degree with Honours from Radcliffe College.,candidate,,
NCTB-SFT-00098,7,class7-english,class7-english-chunk-0031;class7-english-chunk-0032,mcq,Sakhawat Memorial Girls’ High School is which type of school?,,a government school. | a muslim school. | a private school. | a religious school.,a private school.,,Sakhawat Hossain Memorial Girls’ school is a private school.,candidate,,
NCTB-SFT-00099,7,class7-english,class7-english-chunk-0031;class7-english-chunk-0032,mcq,What did Helen Keller learn at Radcliffe College?,,Braille. | How to type. | Cotton plantation management. | Foreign languages.,Braille.,,"Here she learnt Braille, which was a new technique for reading.",candidate,,
NCTB-SFT-00100,7,class7-english,class7-english-chunk-0031;class7-english-chunk-0032,short_qa,What was a new technique for reading that Helen Keller learnt?,Braille.,,,,"Here she learnt Braille, which was a new technique for reading.",candidate,,
NCTB-SFT-00101,7,class7-english,class7-english-chunk-0031;class7-english-chunk-0032,mcq,What was the main source of income for Helen Keller’s family?,,Mining. | Cotton plantation. | Fishing. | Trading.,Cotton plantation.,,Their main source of income was cotton plantation.,candidate,,
NCTB-SFT-00102,7,class7-english,class7-english-chunk-0034;class7-english-chunk-0035,mcq,"According to the poem, what does the poet think we have no time to do?",,play games | stand and stare | read books | listen to music,stand and stare,,"""No time to stand and stare""",candidate,,
NCTB-SFT-00103,7,class7-english,class7-english-chunk-0034;class7-english-chunk-0035,mcq,How much time does Zishan spend on his studies?,,too much | too little | the right amount of time | none of these,the right amount of time,,How much time does Zishan spend on his studies? (hints: too much / too little / the right amount of time),candidate,,
NCTB-SFT-00104,7,class7-english,class7-english-chunk-0034;class7-english-chunk-0035,short_qa,What does ‘glued to’ mean?,giving all your attention to something,,,,Note: glued to : giving all your attention to something,candidate,,
NCTB-SFT-00105,7,class7-english,class7-english-chunk-0034;class7-english-chunk-0035,mcq,What does ‘upload’ mean?,,"copy data, information, etc from one computer system to another or to a disk | transfer information, data to a computer system | play games on computers | share personal updates on Facebook","transfer information, data to a computer system",,"upload : transfer information, data to a computer system",candidate,,
NCTB-SFT-00106,7,class7-english,class7-english-chunk-0034;class7-english-chunk-0035,short_qa,What is the title of the poem?,"""A poor life this is if, full of care""",,,,"""A poor life this is if, full of care""",candidate,,
NCTB-SFT-00107,7,class7-english,class7-english-chunk-0034;class7-english-chunk-0035,short_qa,What time does Zishan wake up?,6:30 am,,,,6:30 am : wake up,candidate,,
NCTB-SFT-00108,7,class7-english,class7-english-chunk-0034;class7-english-chunk-0035,passage_grounded_qa,Where do children often play football?,In the school playground,,,Children often watch football matches of both national and international 4. Children often play football in the school playground.,Children often play football in the school playground.,candidate,,
