example_id,class_level,task_type,question,answer,status,reasons
NCTB-SFT-00253,8,passage_grounded_qa,What skills do the river gypsies inherit?,Necessary life skills to survive in water.,AUTO_PASS,
NCTB-SFT-00254,8,mcq,What did Bedeys catch during the winter/rainy/summer season?,,AUTO_PASS,
NCTB-SFT-00255,8,mcq,What did Bedeys sometimes go vending?,,AUTO_PASS,
NCTB-SFT-00256,8,mcq,What did females of the bedey families contribute to the family income?,,AUTO_PASS,
NCTB-SFT-00257,8,mcq,What did Khaled Hosseini's story ‘Sea Prayer’ inspire?,,AUTO_PASS,
NCTB-SFT-00258,8,mcq,What is Charles Anderson Dana's famous quote regarding news?,,AUTO_PASS,
NCTB-SFT-00259,8,passage_grounded_qa,Who said the quote about a dog and a man?,Charles Anderson Dana.,AUTO_PASS,
NCTB-SFT-00260,8,mcq,In what year did the Pennsylvania Packet and The Daily Advertiser first appear?,,AUTO_PASS,
NCTB-SFT-00261,8,mcq,What does a fresh newspaper with tea or coffee symbolize?,,AUTO_PASS,
NCTB-SFT-00262,8,passage_grounded_qa,What is the name of England's oldest newspaper?,The London Gazette,AUTO_PASS,
NCTB-SFT-00263,8,mcq,When was the first Acta Diurna published?,,AUTO_PASS,
NCTB-SFT-00264,8,mcq,"Which country published the first weekly newspaper, Account of All Distinguished and Commemorable News?",,AUTO_PASS,
NCTB-SFT-00265,8,passage_grounded_qa,What do some people still desire?,Having a printed newspaper.,AUTO_PASS,
NCTB-SFT-00266,8,short_qa,What was the first newspaper printed in India?,Hickey’s Bengal Gazette,AUTO_PASS,
NCTB-SFT-00267,8,mcq,When was the Samachar Darpan published?,,AUTO_PASS,
NCTB-SFT-00268,8,passage_grounded_qa,Where does 'there' appear in this sentence?,'Before/after a form of verb ‘to be’',AUTO_PASS,
NCTB-SFT-00269,8,short_qa,What does a TV news report usually begin with?,One or two short sentences.,AUTO_PASS,
NCTB-SFT-00270,8,passage_grounded_qa,What skill is important for a TV report?,The skills of the camera operator,AUTO_PASS,
NCTB-SFT-00271,8,mcq,In what year did Polan Sarkar receive the Ekushey Padak?,,AUTO_PASS,
NCTB-SFT-00272,8,passage_grounded_qa,What kind of movement did Polan Sarkar initiate?,A social movement of distributing books free of charge.,AUTO_PASS,
NCTB-SFT-00273,8,mcq,What was Polan Sarkar awarded with in 2011?,,AUTO_PASS,
NCTB-SFT-00274,8,short_qa,What was Polan Sarkar known as?,Alor Ferrywala,AUTO_PASS,
NCTB-SFT-00275,8,passage_grounded_qa,What was Polan Sarkar's birthdate?,"August 1, 1921",AUTO_PASS,
NCTB-SFT-00276,8,passage_grounded_qa,Where did Polan Sarkar pass away?,Bausha village in Bagha upazila of Rajshahi.,AUTO_PASS,
NCTB-SFT-00277,8,passage_grounded_qa,Where was Polan Sarkar born?,"Bagatipara, Natore.",AUTO_PASS,
NCTB-SFT-00278,8,mcq,"What are fans, propellers and turbines?",,AUTO_PASS,
NCTB-SFT-00279,8,mcq,What did Polan Sarkar use to provide books?,,AUTO_PASS,
NCTB-SFT-00280,8,mcq,Approximately when were wheels first used on chariots?,,AUTO_PASS,
NCTB-SFT-00281,8,passage_grounded_qa,In what year was the oldest ever wheel discovered?,3500 B.C.,AUTO_PASS,
NCTB-SFT-00282,8,short_qa,What did the Egyptians do with their wheels?,They used them on chariots.,AUTO_PASS,
NCTB-SFT-00283,8,passage_grounded_qa,What rivers did Mesopotamia lie alongside?,The rivers Tigris and Euphrates,AUTO_PASS,
NCTB-SFT-00284,8,short_qa,What were the Mesopotamians?,Pioneers in many things.,AUTO_PASS,
NCTB-SFT-00285,8,mcq,Where was Mesopotamia located?,,AUTO_PASS,
NCTB-SFT-00286,8,passage_grounded_qa,Who improved the wheel after the Mesopotamians?,The Egyptians,AUTO_PASS,
NCTB-SFT-00287,8,short_qa,What does TGV stand for?,Train a Grande Vitesse,AUTO_PASS,
NCTB-SFT-00288,8,mcq,What is the name of the high-speed train service in Japan?,,AUTO_PASS,
NCTB-SFT-00289,8,mcq,What was the original power source for the TGV (Train a Grande Vitesse)?,,AUTO_PASS,
NCTB-SFT-00290,8,mcq,What was the speed achieved by the TGV test train in 2007?,,AUTO_PASS,
NCTB-SFT-00291,8,short_qa,When did the TGV service first start between Paris and Lyon?,1981,AUTO_PASS,
NCTB-SFT-00292,8,passage_grounded_qa,Where do the Tigris and Euphrates rivers run?,On the west of Mesopotamia,AUTO_PASS,
NCTB-SFT-00293,8,passage_grounded_qa,Where does Shang China lie?,The far east of India,AUTO_PASS,
NCTB-SFT-00294,8,passage_grounded_qa,Where is the Bay of Bengal located?,The east coast of India,AUTO_PASS,
NCTB-SFT-00295,8,passage_grounded_qa,Which direction does the Ganges flow?,The north of India,AUTO_PASS,
NCTB-SFT-00296,8,mcq,At what temperature could the body of the plane reach?,,AUTO_PASS,
NCTB-SFT-00297,8,mcq,What temperature does the Falcon HTV-2 withstand?,,AUTO_PASS,
NCTB-SFT-00298,8,mcq,When was the Falcon HTV-2 born?,,AUTO_PASS,
NCTB-SFT-00299,8,short_qa,What did people use for writing materials before paper?,"Stone, metal, wood, bark, leaves.",AUTO_PASS,
NCTB-SFT-00300,8,short_qa,What did people use to exchange ideas before writing?,Speaking and listening,AUTO_PASS,
NCTB-SFT-00301,8,short_qa,What is a modern invention?,Paper,AUTO_PASS,
NCTB-SFT-00302,8,short_qa,What is at the centre of civilisation?,Communication of ideas,AUTO_PASS,
NCTB-SFT-00303,8,passage_grounded_qa,What were some materials people used for writing before paper?,"Stone, metal, wood, bark, leaves.",AUTO_PASS,
NCTB-SFT-00304,8,mcq,When was paper invented?,,AUTO_PASS,
NCTB-SFT-00305,8,mcq,Where was paper invented?,,AUTO_PASS,
NCTB-SFT-00306,8,mcq,What did the bat do while eating his dinner?,,AUTO_PASS,
NCTB-SFT-00307,8,short_qa,What did the bat say to praise the owl?,"""O wise and brave owl, you are the most generous person I have ever seen.""",AUTO_PASS,
NCTB-SFT-00308,8,passage_grounded_qa,What happened during the storm?,It started to rain heavily.,AUTO_PASS,
NCTB-SFT-00309,8,short_qa,What kind of tree did the dove and bat find?,A century-old rain tree.,AUTO_PASS,
NCTB-SFT-00310,8,mcq,What was living in the rain tree?,,AUTO_PASS,
NCTB-SFT-00311,8,short_qa,Where did the dove and the bat come to after flying over rivers and hills?,A big jungle.,AUTO_PASS,
NCTB-SFT-00312,8,mcq,Which word best describes the owl’s behavior?,,AUTO_PASS,
NCTB-SFT-00313,8,short_qa,What did Grandpa suggest the crow do?,Get pebbles from the riverbed.,AUTO_PASS,
NCTB-SFT-00314,8,passage_grounded_qa,Where did the crow find straws?,In the haystacks.,AUTO_PASS,
NCTB-SFT-00315,8,short_qa,What did Pritilata Waddedar do?,Swallowed cyanide pills to avoid capture.,AUTO_PASS,
NCTB-SFT-00316,8,short_qa,What does ‘helter-skelter’ mean?,In a hurried or confused way; chaotic.,AUTO_PASS,
NCTB-SFT-00317,8,short_qa,What was Mayer Daak?,A group of women whose family members had faced enforced disappearances.,AUTO_PASS,
NCTB-SFT-00318,8,short_qa,What did the security forces shout during the uprising?,‘Khuni! Khuni!”,AUTO_PASS,
NCTB-SFT-00319,8,short_qa,What does ‘folk music’ refer to?,"Tunes, lyrics, and knowledge passed down orally.",AUTO_PASS,
NCTB-SFT-00320,8,short_qa,What is a fading aspect of traditional folk music?,Tunes are slowly fading.,AUTO_PASS,
NCTB-SFT-00321,8,short_qa,What materials were commonly used to create folk music instruments?,"Animal skin, bamboo, and calabash.",AUTO_PASS,
NCTB-SFT-00322,8,mcq,Where do you encounter music with the same role but expressed in diverse languages?,,AUTO_PASS,
NCTB-SFT-00323,8,mcq,Where is folk music currently found?,,AUTO_PASS,
NCTB-SFT-00324,8,mcq,In what year was Leo Tolstoy born?,,AUTO_PASS,
NCTB-SFT-00325,8,short_qa,What did the children call the farmer?,Their 'farming teacher',AUTO_PASS,
NCTB-SFT-00326,8,short_qa,What did the children discover?,The joy and wonder of seeing their own planted seeds grow.,AUTO_PASS,
NCTB-SFT-00327,8,mcq,What did the farmer provide to help the crops thrive?,,AUTO_PASS,
NCTB-SFT-00328,8,short_qa,What did Tolstoy do before writing novels?,He never completed his studies.,AUTO_PASS,
NCTB-SFT-00329,8,passage_grounded_qa,"What did Tolstoy’s first novel, ‘Childhood’, capture?",His fondest memories of his childhood,AUTO_PASS,
NCTB-SFT-00330,8,mcq,What was Tolstoy’s most critically acclaimed work?,,AUTO_PASS,
NCTB-SFT-00331,8,passage_grounded_qa,Where did Tolstoy die?,In the same house.,AUTO_PASS,
NCTB-SFT-00332,8,passage_grounded_qa,Where was Tolstoy buried?,In his own family estate in Tula province in Yasnaya Polyana,AUTO_PASS,
NCTB-SFT-00333,8,mcq,What did the boy find in the pot?,,AUTO_PASS,
NCTB-SFT-00334,8,mcq,What did the boy initially think of the pot?,,AUTO_PASS,
NCTB-SFT-00335,8,passage_grounded_qa,What did the boy's mother tell him?,"True happiness isn’t in wealth, but in helping others.",AUTO_PASS,
NCTB-SFT-00336,8,passage_grounded_qa,What does the embroidered quilt symbolize?,"The woman's emotions, memories, and the story of Rupai’s life.",AUTO_PASS,
NCTB-SFT-00337,8,short_qa,What was the boy searching for?,Food to eat.,AUTO_PASS,
NCTB-SFT-00338,8,short_qa,When did Leo Tolstoy die?,"November 20, 1910.",AUTO_PASS,
NCTB-SFT-00339,8,short_qa,Where was Leo Tolstoy born?,"In Yasnaya Polyana, Tula province, Russian Empire.",AUTO_PASS,
NCTB-SFT-00340,8,passage_grounded_qa,Why do the wild geese begin their journey?,Because they sense that the season is changing and winter is approaching.,AUTO_PASS,
